,銘柄番号,企業名,時期,売上高,営業利益,経常利益,純利益,1株益,1株配
0,"1332
",日本水産,連14.3,"604,249","13,931","12,360","3,998",14.5,0
1,"1332
",日本水産,連15.3,"638,435","18,110","21,392","10,558",38.2,3
2,"1332
",日本水産,連16.3,"637,164","19,442","20,696","12,307",44.6,5
3,"1332
",日本水産,連17.3,"635,953","22,646","24,884","14,216",48.0,6
4,"1332
",日本水産,連18.3,"683,008","23,489","24,840","17,334",55.7,8
5,"1332
",日本水産,連19.3予,--,--,--,--,--,--
6,"1332
",日本水産,連20.3予,--,--,--,--,--,--
7,"1332
",日本水産,中18.9,"350,483","10,560","11,952","6,919",22.2,4
8,"1332
",日本水産,中19.9予,--,--,--,--,--,--
9,"1332
",日本水産,会19.3予,--,--,--,--,--,--
10,"1333
",マルハニチロ,連15.3,"863,784","8,686","11,834","7,219",145.5,30
11,"1333
",マルハニチロ,連16.3,"884,811","16,972","17,124","4,097",77.8,30
12,"1333
",マルハニチロ,連17.3,"873,295","26,308","27,874","15,446",293.4,45記
13,"1333
",マルハニチロ,連18.3,"918,820","24,497","27,917","16,102",306.0,40
14,"1333
",マルハニチロ,連19.3予,--,--,--,--,--,--
15,"1333
",マルハニチロ,連20.3予,--,--,--,--,--,--
16,"1333
",マルハニチロ,中18.9,"448,549","10,215","11,897","8,761",166.5,0
17,"1333
",マルハニチロ,中19.9予,--,--,--,--,--,--
18,"1333
",マルハニチロ,会19.3予,--,--,--,--,--,--
19,"1605
",国際石油開発帝石,連14.3*,"1,334,625","733,610","750,077","183,690",125.8,18
20,"1605
",国際石油開発帝石,連15.3,"1,171,226","534,886","575,155","77,820",53.3,18
21,"1605
",国際石油開発帝石,連16.3,"1,009,564","390,139","374,771","16,777",11.5,18
22,"1605
",国際石油開発帝石,連17.3,"874,423","336,452","333,891","46,168",31.6,18
23,"1605
",国際石油開発帝石,連18.3,"933,701","357,363","387,269","40,362",27.6,18
24,"1605
",国際石油開発帝石,連19.3予,--,--,--,--,--,--
25,"1605
",国際石油開発帝石,連20.3予,--,--,--,--,--,--
26,"1605
",国際石油開発帝石,中18.9,"438,205","226,434","246,977","34,034",23.3,9
27,"1605
",国際石油開発帝石,中19.9予,--,--,--,--,--,--
28,"1605
",国際石油開発帝石,会19.3予,--,--,--,--,--,--
29,"1721
",コムシスホールディングス,連14.3,"331,341","27,570","28,078","16,389",136.1,25記
30,"1721
",コムシスホールディングス,連15.3,"328,631","27,674","28,121","16,767",142.7,30
31,"1721
",コムシスホールディングス,連16.3,"320,654","23,849","24,223","15,420",136.8,35
32,"1721
",コムシスホールディングス,連17.3,"334,163","25,036","25,341","14,485",130.0,40
33,"1721
",コムシスホールディングス,連18.3,"380,024","30,347","30,706","20,390",178.6,50
34,"1721
",コムシスホールディングス,連19.3予,--,--,--,--,--,--
35,"1721
",コムシスホールディングス,連20.3予,--,--,--,--,--,--
36,"1721
",コムシスホールディングス,中18.9,"177,854","10,974","11,232","7,129",62.5,30
37,"1721
",コムシスホールディングス,中19.9予,--,--,--,--,--,--
38,"1721
",コムシスホールディングス,会19.3予,--,--,--,--,--,--
39,"1801
",大成建設,連14.3*,"1,533,473","53,773","56,756","32,089",140.9,30
40,"1801
",大成建設,連15.3*,"1,573,270","70,417","74,467","38,177",167.6,40
41,"1801
",大成建設,連16.3*,"1,545,889","117,468","117,703","77,045",329.3,80
42,"1801
",大成建設,連17.3*,"1,487,252","140,822","144,591","90,566",392.9,100
43,"1801
",大成建設,連18.3*,"1,585,497","181,859","185,349","126,788",561.4,125
44,"1801
",大成建設,連19.3予,--,--,--,--,--,--
45,"1801
",大成建設,連20.3予,--,--,--,--,--,--
46,"1801
",大成建設,中18.9,"704,651","48,002","50,263","35,226",158.9,60
47,"1801
",大成建設,中19.9予,--,--,--,--,--,--
48,"1801
",大成建設,会19.3予,--,--,--,--,--,--
49,"1802
",大林組,連14.3,"1,612,756","31,991","40,135","21,627",30.1,8
50,"1802
",大林組,連15.3,"1,773,981","48,388","59,913","28,695",40.0,10
51,"1802
",大林組,連16.3,"1,777,834","106,380","111,208","63,437",88.4,18
52,"1802
",大林組,連17.3,"1,872,721","133,742","140,106","94,501",131.7,28
53,"1802
",大林組,連18.3,"1,900,655","137,800","143,951","92,662",129.1,28
54,"1802
",大林組,連19.3予,--,--,--,--,--,--
55,"1802
",大林組,連20.3予,--,--,--,--,--,--
56,"1802
",大林組,中18.9,"937,138","65,028","69,742","48,827",68.0,14
57,"1802
",大林組,中19.9予,--,--,--,--,--,--
58,"1802
",大林組,会19.3予,--,--,--,--,--,--
59,"1803
",清水建設,連14.3,"1,497,578","26,054","29,277","14,191",18.1,7
60,"1803
",清水建設,連15.3,"1,567,843","50,032","56,246","33,397",42.6,8
61,"1803
",清水建設,連16.3,"1,664,933","94,668","95,501","59,322",75.6,16特
62,"1803
",清水建設,連17.3,"1,567,427","128,835","131,197","98,946",126.1,26特
63,"1803
",清水建設,連18.3,"1,519,435","121,373","124,130","84,978",108.3,26特
64,"1803
",清水建設,連19.3予,--,--,--,--,--,--
65,"1803
",清水建設,連20.3予,--,--,--,--,--,--
66,"1803
",清水建設,中18.9,"729,675","49,306","51,946","36,561",46.6,13特
67,"1803
",清水建設,中19.9予,--,--,--,--,--,--
68,"1803
",清水建設,会19.3予,--,--,--,--,--,--
69,"1808
",長谷工コーポレーション,連14.3,"587,571","28,838","25,405","24,830",81.4,3
70,"1808
",長谷工コーポレーション,連15.3,"642,167","42,698","41,889","28,542",94.6,10
71,"1808
",長谷工コーポレーション,連16.3,"787,354","68,762","67,327","51,226",170.4,15
72,"1808
",長谷工コーポレーション,連17.3,"772,328","89,032","88,827","58,762",195.5,30特記
73,"1808
",長谷工コーポレーション,連18.3,"813,276","100,805","100,497","72,289",242.0,50特
74,"1808
",長谷工コーポレーション,連19.3予,--,--,--,--,--,--
75,"1808
",長谷工コーポレーション,連20.3予,--,--,--,--,--,--
76,"1808
",長谷工コーポレーション,中18.9,"441,090","46,116","46,372","46,376",156.0,10
77,"1808
",長谷工コーポレーション,中19.9予,--,--,--,--,--,--
78,"1808
",長谷工コーポレーション,会19.3予,--,--,--,--,--,--
79,"1812
",鹿島,連14.3*,"1,521,191","23,007","27,006","20,752",40.0,10
80,"1812
",鹿島,連15.3*,"1,693,658","12,665","21,365","15,139",29.2,10
81,"1812
",鹿島,連16.3*,"1,742,700","111,079","113,376","72,323",139.3,24
82,"1812
",鹿島,連17.3*,"1,821,805","155,392","163,438","104,857",202.0,40
83,"1812
",鹿島,連18.3*,"1,830,625","158,373","179,716","126,778",244.3,48
84,"1812
",鹿島,連19.3*予,--,--,--,--,--,--
85,"1812
",鹿島,連20.3予,--,--,--,--,--,--
86,"1812
",鹿島,中18.9*,"897,767","60,632","72,125","54,523",105.1,24
87,"1812
",鹿島,中19.9予,--,--,--,--,--,--
88,"1812
",鹿島,会19.3予,--,--,--,--,--,--
89,"1925
",大和ハウス工業,連14.3,"2,700,318","163,576","176,366","102,095",161.1,50
90,"1925
",大和ハウス工業,連15.3,"2,810,714","180,352","202,628","117,133",177.7,60
91,"1925
",大和ハウス工業,連16.3,"3,192,900","243,100","233,592","103,577",156.4,80記
92,"1925
",大和ハウス工業,連17.3,"3,512,909","310,092","300,529","201,700",304.1,92
93,"1925
",大和ハウス工業,連18.3,"3,795,992","347,141","344,593","236,357",355.9,107
94,"1925
",大和ハウス工業,連19.3予,--,--,--,--,--,--
95,"1925
",大和ハウス工業,連20.3予,--,--,--,--,--,--
96,"1925
",大和ハウス工業,中18.9,"1,983,326","189,586","191,741","131,481",197.7,50
97,"1925
",大和ハウス工業,中19.9予,--,--,--,--,--,--
98,"1925
",大和ハウス工業,会19.3予,--,--,--,--,--,--
99,"1928
",積水ハウス,連14.1,"1,805,102","131,930","137,794","79,801",118.6,43
100,"1928
",積水ハウス,連15.1,"1,912,721","146,595","156,426","90,224",130.9,50
101,"1928
",積水ハウス,連16.1,"1,858,879","149,645","160,589","84,302",120.2,54
102,"1928
",積水ハウス,連17.1,"2,026,931","184,164","190,989","121,853",175.5,64
103,"1928
",積水ハウス,連18.1,"2,159,363","195,540","203,678","133,224",193.1,77
104,"1928
",積水ハウス,連19.1予,--,--,--,--,--,--
105,"1928
",積水ハウス,連20.1予,--,--,--,--,--,--
106,"1928
",積水ハウス,中18.7,"1,002,621","78,649","82,598","57,847",83.8,39
107,"1928
",積水ハウス,中19.7予,--,--,--,--,--,--
108,"1928
",積水ハウス,会19.1予,--,--,--,--,--,--
109,"1963
",日揮,連14.3,"675,821","68,253","83,675","47,178",186.9,46.5
110,"1963
",日揮,連15.3,"799,076","29,740","44,867","20,628",81.7,21
111,"1963
",日揮,連16.3,"879,954","49,661","52,047","42,793",169.6,42.5
112,"1963
",日揮,連17.3,"693,152","-21,496","-15,215","-22,057",-87.4,30
