,銘柄番号,企業名,時期,売上高,営業利益,経常利益,純利益,1株益,1株配
0,"1301
",極洋,連14.3*,"202,387","2,915","2,985","2,968",282.6,50
1,"1301
",極洋,連15.3*,"218,350","2,460","2,107","2,433",231.7,50
2,"1301
",極洋,連16.3*,"226,626","2,433","2,814","1,799",171.3,50
3,"1301
",極洋,連17.3,"236,561","3,723","3,709","2,422",230.7,60記
4,"1301
",極洋,連18.3,"254,783","4,066","4,437","3,211",304.3,60
5,"1301
",極洋,連19.3予,--,--,--,--,--,--
6,"1301
",極洋,連20.3予,--,--,--,--,--,--
7,"1301
",極洋,中18.9,"119,202","1,072","1,332",824,76.3,0
8,"1301
",極洋,中19.9予,--,--,--,--,--,--
9,"1301
",極洋,会19.3予,--,--,--,--,--,--
10,"1332
",日本水産,連14.3,"604,249","13,931","12,360","3,998",14.5,0
11,"1332
",日本水産,連15.3,"638,435","18,110","21,392","10,558",38.2,3
12,"1332
",日本水産,連16.3,"637,164","19,442","20,696","12,307",44.6,5
13,"1332
",日本水産,連17.3,"635,953","22,646","24,884","14,216",48.0,6
14,"1332
",日本水産,連18.3,"683,008","23,489","24,840","17,334",55.7,8
15,"1332
",日本水産,連19.3予,--,--,--,--,--,--
16,"1332
",日本水産,連20.3予,--,--,--,--,--,--
17,"1332
",日本水産,中18.9,"350,483","10,560","11,952","6,919",22.2,4
18,"1332
",日本水産,中19.9予,--,--,--,--,--,--
19,"1332
",日本水産,会19.3予,--,--,--,--,--,--
20,"1333
",マルハニチロ,連15.3,"863,784","8,686","11,834","7,219",145.5,30
21,"1333
",マルハニチロ,連16.3,"884,811","16,972","17,124","4,097",77.8,30
22,"1333
",マルハニチロ,連17.3,"873,295","26,308","27,874","15,446",293.4,45記
23,"1333
",マルハニチロ,連18.3,"918,820","24,497","27,917","16,102",306.0,40
24,"1333
",マルハニチロ,連19.3予,--,--,--,--,--,--
25,"1333
",マルハニチロ,連20.3予,--,--,--,--,--,--
26,"1333
",マルハニチロ,中18.9,"448,549","10,215","11,897","8,761",166.5,0
27,"1333
",マルハニチロ,中19.9予,--,--,--,--,--,--
28,"1333
",マルハニチロ,会19.3予,--,--,--,--,--,--
29,"1352
",ホウスイ,連14.3*,"50,486",199,290,125,15.0,20
30,"1352
",ホウスイ,連15.3*,"67,391",236,283,-295,-35.3,20
31,"1352
",ホウスイ,連16.3*,"70,906",523,577,402,48.0,20
32,"1352
",ホウスイ,連17.3*,"73,761",799,850,706,84.3,20
33,"1352
",ホウスイ,連18.3,"73,928",837,887,424,50.7,20
34,"1352
",ホウスイ,連19.3予,--,--,--,--,--,--
35,"1352
",ホウスイ,連20.3予,--,--,--,--,--,--
36,"1352
",ホウスイ,中18.9,"37,240",333,234,68,8.2,0
37,"1352
",ホウスイ,中19.9予,--,--,--,--,--,--
38,"1352
",ホウスイ,会19.3予,--,--,--,--,--,--
39,"1376
",カネコ種苗,連16.5,"58,099","2,144","2,281","1,465",124.8,27記
40,"1376
",カネコ種苗,連17.5,"57,848","2,015","2,116","1,489",126.9,26
41,"1376
",カネコ種苗,連18.5,"59,102","1,747","1,891",978,83.4,26
42,"1376
",カネコ種苗,連19.5予,--,--,--,--,--,--
43,"1376
",カネコ種苗,連20.5予,--,--,--,--,--,--
44,"1376
",カネコ種苗,中17.11,"24,923",278,338,193,16.5,11
45,"1376
",カネコ種苗,中18.11予,--,--,--,--,--,--
46,"1376
",カネコ種苗,四17.6-8,"13,794",345,371,233,19.9,
47,"1376
",カネコ種苗,四18.6-8,"13,598",324,353,236,20.1,
48,"1376
",カネコ種苗,会19.5予,--,--,--,--,--,--
49,"1377
",サカタのタネ,連16.5,"58,773","7,317","7,555","5,215",115.9,25特
50,"1377
",サカタのタネ,連17.5,"61,844","7,702","8,250","6,112",135.8,28特
51,"1377
",サカタのタネ,連18.5,"62,412","7,553","7,880","5,767",128.2,30
52,"1377
",サカタのタネ,連19.5予,--,--,--,--,--,--
53,"1377
",サカタのタネ,連20.5予,--,--,--,--,--,--
54,"1377
",サカタのタネ,中17.11,"29,778","4,393","4,649","3,457",76.8,10
55,"1377
",サカタのタネ,中18.11予,--,--,--,--,--,--
56,"1377
",サカタのタネ,四17.6-8,"16,235","3,923","4,159","2,912",64.7,
57,"1377
",サカタのタネ,四18.6-8,"14,568","2,894","3,241","2,244",49.9,
58,"1377
",サカタのタネ,会19.5予,--,--,--,--,--,--
59,"1379
",ホクト,連14.3,"57,025","4,255","5,484","2,720",85.6,60記
60,"1379
",ホクト,連15.3,"60,949","3,962","5,756","3,696",116.0,59
61,"1379
",ホクト,連16.3,"60,987","3,428","4,074","2,598",81.2,60
62,"1379
",ホクト,連17.3,"63,119","3,430","4,379","2,828",88.2,60
63,"1379
",ホクト,連18.3,"66,907","3,181","4,033","2,418",75.2,60
64,"1379
",ホクト,連19.3予,--,--,--,--,--,--
65,"1379
",ホクト,連20.3予,--,--,--,--,--,--
66,"1379
",ホクト,中18.9,"29,881","-1,990","-1,301","-1,132",-35.3,10
67,"1379
",ホクト,中19.9予,--,--,--,--,--,--
68,"1379
",ホクト,会19.3予,--,--,--,--,--,--
69,"1384
",ホクリヨウ,連14.8*,"13,239",352,413,54,9.4,6.67
70,"1384
",ホクリヨウ,連15.8,"15,591","1,036","1,067",667,100.1,12
71,"1384
",ホクリヨウ,連16.8,"15,682","1,496","1,552",979,128.2,14
72,"1384
",ホクリヨウ,連17.8,"15,982","1,519","1,691","1,420",167.9,15
73,"1384
",ホクリヨウ,連18.3変,"9,119",976,"1,015",646,76.4,15
74,"1384
",ホクリヨウ,連19.3予,--,--,--,--,--,--
75,"1384
",ホクリヨウ,連20.3予,--,--,--,--,--,--
76,"1384
",ホクリヨウ,中18.9,"6,350",221,256,191,22.7,0
77,"1384
",ホクリヨウ,中19.9予,--,--,--,--,--,--
78,"1384
",ホクリヨウ,会19.3予,--,--,--,--,--,--
79,"1414
",ショーボンドホールディングス,連16.6,"52,334","9,303","9,648","6,267",232.9,87
80,"1414
",ショーボンドホールディングス,連17.6,"53,250","10,160","10,516","6,997",260.0,104
81,"1414
",ショーボンドホールディングス,連18.6,"59,682","10,781","11,187","7,301",271.3,125記
82,"1414
",ショーボンドホールディングス,連19.6予,--,--,--,--,--,--
83,"1414
",ショーボンドホールディングス,連20.6予,--,--,--,--,--,--
84,"1414
",ショーボンドホールディングス,中17.12,"27,850","5,263","5,397","3,606",134.0,50
85,"1414
",ショーボンドホールディングス,中18.12予,--,--,--,--,--,--
86,"1414
",ショーボンドホールディングス,四17.7-9,"12,320","2,094","2,138","1,400",52.1,
87,"1414
",ショーボンドホールディングス,四18.7-9,"13,215","2,202","2,247","1,483",55.1,
88,"1414
",ショーボンドホールディングス,会19.6予,--,--,--,--,--,--
89,"1417
",ミライト・ホールディングス,連14.3,"277,720","11,454","12,267","7,186",87.3,20
