,date,closing price
0,2017-01-04,4323
1,2017-01-05,4299
2,2017-01-06,4265
3,2017-01-10,4226
4,2017-01-11,4207
5,2017-01-12,4136
6,2017-01-13,4193
7,2017-01-16,4144
8,2017-01-17,4086
9,2017-01-18,4053
10,2017-01-19,4096
11,2017-01-20,4122
12,2017-01-23,4052
13,2017-01-24,4055
14,2017-01-25,4049
15,2017-01-26,4091
16,2017-01-27,4208
17,2017-01-30,4236
18,2017-01-31,4143
19,2017-02-01,4153
20,2017-02-02,4091
21,2017-02-03,4033
22,2017-02-06,4063
23,2017-02-07,4054
24,2017-02-08,4093
25,2017-02-09,4040
26,2017-02-10,4201
27,2017-02-13,4226
28,2017-02-14,4270
29,2017-02-15,4281
30,2017-02-16,4276
31,2017-02-17,4315
32,2017-02-20,4549
33,2017-02-21,4545
34,2017-02-22,4548
35,2017-02-23,4547
36,2017-02-24,4533
37,2017-02-27,4495
38,2017-02-28,4481
39,2017-03-01,4516
40,2017-03-02,4535
41,2017-03-03,4511
42,2017-03-06,4522
43,2017-03-07,4500
44,2017-03-08,4517
45,2017-03-09,4613
46,2017-03-10,4698
47,2017-03-13,4691
48,2017-03-14,4653
49,2017-03-15,4623
50,2017-03-16,4628
51,2017-03-17,4613
52,2017-03-21,4613
53,2017-03-22,4531
54,2017-03-23,4506
55,2017-03-24,4543
56,2017-03-27,4476
57,2017-03-28,4554
58,2017-03-29,4546
59,2017-03-30,4513
60,2017-03-31,4503
61,2017-04-03,4524
62,2017-04-04,4533
63,2017-04-05,4503
64,2017-04-06,4477
65,2017-04-07,4488
66,2017-04-10,4480
67,2017-04-11,4456
68,2017-04-12,4424
69,2017-04-13,4392
70,2017-04-14,4342
71,2017-04-17,4340
72,2017-04-18,4365
73,2017-04-19,4362
74,2017-04-20,4411
75,2017-04-21,4497
76,2017-04-24,4532
77,2017-04-25,4567
78,2017-04-26,4675
79,2017-04-27,4655
80,2017-04-28,4648
81,2017-05-01,4668
82,2017-05-02,4702
83,2017-05-08,4784
84,2017-05-09,4780
85,2017-05-10,4772
86,2017-05-11,4804
87,2017-05-12,4792
88,2017-05-15,4792
89,2017-05-16,4829
90,2017-05-17,4794
91,2017-05-18,4730
92,2017-05-19,4734
93,2017-05-22,4750
94,2017-05-23,4748
95,2017-05-24,4775
96,2017-05-25,4760
97,2017-05-26,4730
98,2017-05-29,4715
99,2017-05-30,4709
100,2017-05-31,4652
101,2017-06-01,4727
102,2017-06-02,4895
103,2017-06-05,4843
104,2017-06-06,4841
105,2017-06-07,4828
106,2017-06-08,4792
107,2017-06-09,4823
108,2017-06-12,4852
109,2017-06-13,4846
110,2017-06-14,4862
111,2017-06-15,4714
112,2017-06-16,4723
113,2017-06-19,4751
114,2017-06-20,4832
115,2017-06-21,4828
116,2017-06-22,4906
117,2017-06-23,4896
118,2017-06-26,4855
119,2017-06-27,4933
120,2017-06-28,4862
121,2017-06-29,4836
122,2017-06-30,4840
123,2017-07-03,4855
124,2017-07-04,4836
125,2017-07-05,4889
126,2017-07-06,4808
127,2017-07-07,4794
128,2017-07-10,4858
129,2017-07-11,4902
130,2017-07-12,4922
131,2017-07-13,4846
132,2017-07-14,4885
133,2017-07-18,4878
134,2017-07-19,4865
135,2017-07-20,4924
136,2017-07-21,4864
137,2017-07-24,4779
138,2017-07-25,4732
139,2017-07-26,4728
140,2017-07-27,4752
141,2017-07-28,4724
142,2017-07-31,4657
143,2017-08-01,4697
144,2017-08-02,4716
145,2017-08-03,4741
146,2017-08-04,4764
147,2017-08-07,4732
148,2017-08-08,4752
149,2017-08-09,4731
150,2017-08-10,4786
151,2017-08-14,4789
152,2017-08-15,4825
153,2017-08-16,4787
154,2017-08-17,4789
155,2017-08-18,4736
156,2017-08-21,4674
157,2017-08-22,4658
158,2017-08-23,4683
159,2017-08-24,4676
160,2017-08-25,4652
161,2017-08-28,4706
162,2017-08-29,4684
163,2017-08-30,4691
164,2017-08-31,4719
165,2017-09-01,4788
166,2017-09-04,4780
167,2017-09-05,4718
168,2017-09-06,4661
169,2017-09-07,4717
170,2017-09-08,4722
171,2017-09-11,4823
172,2017-09-12,4875
173,2017-09-13,4887
174,2017-09-14,4862
175,2017-09-15,4893
176,2017-09-19,5025
177,2017-09-20,5057
178,2017-09-21,5048
179,2017-09-22,5036
180,2017-09-25,5128
181,2017-09-26,5116
182,2017-09-27,5108
183,2017-09-28,5114
184,2017-09-29,5106
185,2017-10-02,5150
186,2017-10-03,5180
187,2017-10-04,5145
188,2017-10-05,5182
189,2017-10-06,5196
190,2017-10-10,5249
191,2017-10-11,5246
192,2017-10-12,5248
193,2017-10-13,5311
194,2017-10-16,5307
195,2017-10-17,5353
196,2017-10-18,5416
197,2017-10-19,5432
198,2017-10-20,5514
199,2017-10-23,5541
200,2017-10-24,5477
201,2017-10-25,5424
202,2017-10-26,5433
203,2017-10-27,5514
204,2017-10-30,5502
205,2017-10-31,5390
206,2017-11-01,5469
207,2017-11-02,5501
208,2017-11-06,5460
209,2017-11-07,5591
210,2017-11-08,5598
211,2017-11-09,5417
212,2017-11-10,5000
213,2017-11-13,4919
214,2017-11-15,4878
215,2017-11-16,4906
216,2017-11-17,4988
217,2017-11-20,4972
218,2017-11-21,5016
219,2017-11-22,4996
220,2017-11-24,5047
221,2017-11-27,5067
222,2017-11-28,5056
223,2017-11-29,5109
224,2017-11-30,5095
225,2017-12-01,5120
226,2017-12-04,5074
227,2017-12-05,5065
228,2017-12-06,4992
229,2017-12-07,5004
230,2017-12-08,5080
231,2017-12-11,5127
232,2017-12-12,5158
233,2017-12-13,5073
234,2017-12-14,5104
235,2017-12-15,5092
236,2017-12-18,5169
237,2017-12-19,5227
238,2017-12-20,5318
239,2017-12-21,5323
240,2017-12-22,5405
241,2017-12-25,5397
242,2017-12-26,5382
243,2017-12-27,5273
244,2017-12-28,5238
245,2017-12-29,5238
