,date,start price,highest price,cheapest price,closing price,yield,fixed closing price
0,2019-01-04,2611,2674,2590,2674,563600,2674
1,2019-01-07,2767,2785,2728,2734,675800,2734
2,2019-01-08,2784,2794,2724,2754,660500,2754
3,2019-01-09,2767,2785,2741,2748,412500,2748
4,2019-01-10,2726,2751,2711,2742,390500,2742
5,2019-01-11,2732,2759,2687,2741,895000,2741
6,2019-01-15,2769,2828,2730,2828,685100,2828
7,2019-01-16,2852,2864,2788,2792,473800,2792
8,2019-01-17,2805,2816,2772,2776,451300,2776
9,2019-01-18,2767,2842,2763,2826,492400,2826
10,2019-01-21,2828,2863,2818,2828,439700,2828
11,2019-01-22,2832,2854,2814,2841,433100,2841
12,2019-01-23,2810,2841,2800,2814,452200,2814
13,2019-01-24,2812,2830,2790,2816,223300,2816
14,2019-01-25,2816,2855,2816,2840,421700,2840
15,2019-01-28,2839,2839,2794,2802,341900,2802
16,2019-01-29,2799,2835,2781,2828,434700,2828
17,2019-01-30,2813,2823,2789,2800,355400,2800
18,2019-01-31,2860,2874,2822,2835,477600,2835
19,2019-02-01,2869,2874,2821,2833,426600,2833
20,2019-02-04,2850,2889,2843,2871,533800,2871
21,2019-02-05,2895,2898,2852,2861,396200,2861
22,2019-02-06,2878,2888,2861,2870,365600,2870
23,2019-02-07,2844,2850,2786,2798,478900,2798
