,date,start price,highest price,cheapest price,closing price,yield,fixed closing price
0,2019-02-07,4245,4350,4195,4335,613000,4335
1,2019-02-06,4255,4290,4245,4280,434500,4280
2,2019-02-05,4235,4290,4220,4250,430500,4250
3,2019-02-04,4180,4275,4150,4245,738000,4245
4,2019-02-01,4100,4220,4085,4165,1352900,4165
5,2019-01-31,4230,4240,4190,4215,1048300,4215
6,2019-01-30,4100,4160,4060,4145,757200,4145
7,2019-01-29,4065,4100,4045,4100,636500,4100
8,2019-01-28,4080,4080,4035,4065,418300,4065
9,2019-01-25,4020,4080,4015,4065,446900,4065
10,2019-01-24,4075,4080,4005,4025,521700,4025
11,2019-01-23,4060,4075,4015,4030,452500,4030
12,2019-01-22,4110,4125,4055,4110,676800,4110
13,2019-01-21,4080,4095,4040,4070,455800,4070
14,2019-01-18,4045,4095,4030,4045,626500,4045
15,2019-01-17,4045,4060,3995,4015,520400,4015
16,2019-01-16,4020,4035,3935,4020,541100,4020
17,2019-01-15,3925,4040,3925,4015,750700,4015
18,2019-01-11,3910,3965,3880,3905,816900,3905
19,2019-01-10,3905,3920,3860,3900,537700,3900
20,2019-01-09,3895,3960,3885,3925,444900,3925
21,2019-01-08,3910,3925,3845,3890,576700,3890
22,2019-01-07,3825,3875,3815,3865,811700,3865
23,2019-01-04,3685,3730,3665,3700,1130800,3700
24,2018-12-28,3900,3915,3800,3810,1055300,3810
25,2018-12-27,4025,4045,3930,3960,1003100,3960
26,2018-12-26,3785,3925,3785,3885,1186200,3885
27,2018-12-25,3705,3770,3705,3755,1146700,3755
28,2018-12-21,3875,3900,3815,3840,1097700,3840
29,2018-12-20,4010,4030,3865,3890,806900,3890
30,2018-12-19,4070,4110,4025,4055,592100,4055
31,2018-12-18,4025,4085,3970,4000,761400,4000
32,2018-12-17,4025,4075,4005,4060,674600,4060
33,2018-12-14,4050,4065,3970,3985,1196500,3985
34,2018-12-13,4085,4120,4055,4100,909000,4100
35,2018-12-12,4020,4110,4005,4080,2179400,4080
36,2018-12-11,3860,3910,3855,3880,1130500,3880
37,2018-12-10,3815,3865,3795,3855,905800,3855
38,2018-12-07,3915,3940,3875,3915,1290400,3915
39,2018-12-06,3920,3930,3800,3875,1277000,3875
40,2018-12-05,3975,4015,3955,3965,1246600,3965
41,2018-12-04,4360,4360,4085,4090,1406200,4090
42,2018-12-03,4420,4435,4365,4375,749100,4375
43,2018-11-30,4415,4430,4385,4395,646200,4395
44,2018-11-29,4410,4455,4395,4395,473200,4395
45,2018-11-28,4315,4405,4310,4355,766400,4355
46,2018-11-27,4375,4380,4235,4270,775700,4270
47,2018-11-26,4350,4430,4330,4365,804600,4365
48,2018-11-22,4345,4395,4325,4380,507700,4380
49,2018-11-21,4275,4375,4250,4360,539700,4360
50,2018-11-20,4330,4405,4315,4355,715700,4355
51,2018-11-19,4435,4470,4390,4400,473300,4400
52,2018-11-16,4440,4480,4425,4455,654900,4455
53,2018-11-15,4370,4415,4355,4395,465500,4395
54,2018-11-14,4355,4415,4320,4395,619800,4395
55,2018-11-13,4265,4350,4195,4330,732900,4330
56,2018-11-12,4265,4370,4255,4365,648200,4365
57,2018-11-09,4310,4350,4260,4275,693800,4275
58,2018-11-08,4235,4290,4230,4285,571900,4285
59,2018-11-07,4195,4225,4125,4145,651700,4145
60,2018-11-06,4185,4210,4150,4180,439100,4180
61,2018-11-05,4215,4225,4135,4170,868300,4170
62,2018-11-02,3965,4285,3960,4285,1604000,4285
63,2018-11-01,3950,4030,3910,3990,961100,3990
64,2018-10-31,4040,4105,4005,4050,1119400,4050
65,2018-10-30,3790,4135,3785,4005,2022500,4005
66,2018-10-29,4000,4090,3920,3930,969000,3930
67,2018-10-26,4065,4085,3955,4005,881200,4005
68,2018-10-25,4070,4115,4020,4035,1073900,4035
69,2018-10-24,4245,4270,4165,4225,1151500,4225
70,2018-10-23,4440,4450,4205,4215,1512800,4215
71,2018-10-22,4530,4620,4520,4595,487200,4595
72,2018-10-19,4560,4585,4520,4570,690500,4570
73,2018-10-18,4615,4660,4605,4625,386900,4625
74,2018-10-17,4595,4680,4575,4620,691600,4620
75,2018-10-16,4475,4555,4475,4555,477400,4555
76,2018-10-15,4535,4545,4450,4490,650700,4490
77,2018-10-12,4480,4590,4465,4580,918600,4580
78,2018-10-11,4630,4650,4440,4550,1424900,4550
