,date,closing price
0,2019-02-07,2340
1,2019-02-06,2385
2,2019-02-05,2360
3,2019-02-04,2348
4,2019-02-01,2318
5,2019-01-31,2326
6,2019-01-30,2282
7,2019-01-29,2335
8,2019-01-28,2343
9,2019-01-25,2343
10,2019-01-24,2323
11,2019-01-23,2323
12,2019-01-22,2314
13,2019-01-21,2321
14,2019-01-18,2277
15,2019-01-17,2220
16,2019-01-16,2214
17,2019-01-15,2229
18,2019-01-11,2219
19,2019-01-10,2181
20,2019-01-09,2221
21,2019-01-08,2193
22,2019-01-07,2171
23,2019-01-04,2107
24,2018-12-28,2159
25,2018-12-27,2137
26,2018-12-26,2009
27,2018-12-25,2028
28,2018-12-21,2155
29,2018-12-20,2182
30,2018-12-19,2286
31,2018-12-18,2274
32,2018-12-17,2324
33,2018-12-14,2306
34,2018-12-13,2376
35,2018-12-12,2270
36,2018-12-11,2179
37,2018-12-10,2249
38,2018-12-07,2261
39,2018-12-06,2238
40,2018-12-05,2263
41,2018-12-04,2312
42,2018-12-03,2374
43,2018-11-30,2335
44,2018-11-29,2323
45,2018-11-28,2270
46,2018-11-27,2295
47,2018-11-26,2280
48,2018-11-22,2264
49,2018-11-21,2259
50,2018-11-20,2242
51,2018-11-19,2295
52,2018-11-16,2285
53,2018-11-15,2290
54,2018-11-14,2352
55,2018-11-13,2307
56,2018-11-12,2333
57,2018-11-09,2320
58,2018-11-08,2307
59,2018-11-07,2311
60,2018-11-06,2321
61,2018-11-05,2280
62,2018-11-02,2290
63,2018-11-01,2290
64,2018-10-31,2681
65,2018-10-30,2596
66,2018-10-29,2546
67,2018-10-26,2561
68,2018-10-25,2560
69,2018-10-24,2675
70,2018-10-23,2662
71,2018-10-22,2726
72,2018-10-19,2713
73,2018-10-18,2805
74,2018-10-17,2808
75,2018-10-16,2821
76,2018-10-15,2820
77,2018-10-12,2852
78,2018-10-11,2862
79,2018-10-10,2968
80,2018-10-09,3015
81,2018-10-05,3120
82,2018-10-04,3140
83,2018-10-03,3110
84,2018-10-02,3145
85,2018-10-01,3145
86,2018-09-28,3185
87,2018-09-27,3130
88,2018-09-26,3075
89,2018-09-25,3040
90,2018-09-21,3060
91,2018-09-20,2944
92,2018-09-19,2927
93,2018-09-18,2838
94,2018-09-14,2814
95,2018-09-13,2743
96,2018-09-12,2688
97,2018-09-11,2720
98,2018-09-10,2740
99,2018-09-07,2733
100,2018-09-06,2757
101,2018-09-05,2736
102,2018-09-04,2762
103,2018-09-03,2790
104,2018-08-31,2817
105,2018-08-30,2863
106,2018-08-29,2873
107,2018-08-28,2859
108,2018-08-27,2830
109,2018-08-24,2785
110,2018-08-23,2767
111,2018-08-22,2844
112,2018-08-21,2823
113,2018-08-20,2820
114,2018-08-17,2810
115,2018-08-16,2765
116,2018-08-15,2760
117,2018-08-14,2813
118,2018-08-13,2760
119,2018-08-10,2821
120,2018-08-09,2820
121,2018-08-08,2957
122,2018-08-07,2983
123,2018-08-06,2953
124,2018-08-03,2941
125,2018-08-02,2920
126,2018-08-01,2992
127,2018-07-31,2941
128,2018-07-30,2958
129,2018-07-27,2906
130,2018-07-26,2946
131,2018-07-25,2945
132,2018-07-24,2918
133,2018-07-23,2932
134,2018-07-20,2997
135,2018-07-19,3050
136,2018-07-18,3015
137,2018-07-17,2931
138,2018-07-13,2888
139,2018-07-12,2826
140,2018-07-11,2769
141,2018-07-10,2818
142,2018-07-09,2803
143,2018-07-06,2781
144,2018-07-05,2729
145,2018-07-04,2728
146,2018-07-03,2757
147,2018-07-02,2795
148,2018-06-29,2786
149,2018-06-28,2718
150,2018-06-27,2740
151,2018-06-26,2817
152,2018-06-25,2795
153,2018-06-22,2857
154,2018-06-21,2899
155,2018-06-20,2901
156,2018-06-19,2887
157,2018-06-18,2992
158,2018-06-15,3020
159,2018-06-14,3020
160,2018-06-13,3080
161,2018-06-12,3100
162,2018-06-11,3070
163,2018-06-08,3075
164,2018-06-07,3075
165,2018-06-06,3150
166,2018-06-05,3150
167,2018-06-04,3140
168,2018-06-01,3125
169,2018-05-31,3150
170,2018-05-30,3160
171,2018-05-29,3215
172,2018-05-28,3240
173,2018-05-25,3205
174,2018-05-24,3190
175,2018-05-23,3295
176,2018-05-22,3360
177,2018-05-21,3350
178,2018-05-18,3310
179,2018-05-17,3300
180,2018-05-16,3300
181,2018-05-15,3360
182,2018-05-14,3335
183,2018-05-11,3405
184,2018-05-10,3410
185,2018-05-09,3335
186,2018-05-08,3375
187,2018-05-07,3390
